name
Tríceps Coice Bilateral Halteres
Tríceps Corda Baixa Cross
Tríceps Máquina
Upright Row (Barbell)
Upright Row (Cable)
Upright Row (Dumbbell)
V Up
Walking
Walking Lunge
Walking Lunge (Dumbbell)
Wall Ball
Wall Sit
Warm Up
Wide Pull Up
Wrist Roller
Yoga
Zercher Squat
Zottman Curl (Dumbbell)
